Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 26
0 , 0.000000 , 0.000000 , 0
1 , 75.000000 , 75.000000 , 0
2 , 57.000000 , 27.153847 , 0
3 , 52.000000 , 28.153847 , 0
4 , 51.000000 , 33.346153 , 0
5 , 58.000000 , 37.076923 , 0
6 , 60.000000 , 34.115383 , 0
7 , 55.000000 , 31.346153 , 0
8 , 47.000004 , 28.961538 , 0
9 , 45.000000 , 29.384615 , 0
10 , 51.000000 , 32.307693 , 0
11 , 52.000000 , 25.730770 , 0
12 , 65.000000 , 32.346153 , 0
13 , 66.000000 , 40.923077 , 0
14 , 71.000000 , 46.423077 , 0
15 , 77.000000 , 50.461540 , 0
16 , 80.000000 , 64.538460 , 0
17 , 81.000000 , 66.307693 , 0
18 , 86.000000 , 57.000000 , 0
19 , 83.000000 , 62.923077 , 0
20 , 73.000000 , 52.653847 , 0
21 , 72.000000 , 55.076923 , 0
22 , 66.000000 , 52.115383 , 0
23 , 67.000000 , 46.807693 , 0
24 , 70.000000 , 49.230770 , 0
25 , 64.000000 , 38.346153 , 0
26 , 55.000000 , 28.653847 , 0
27 , 45.000000 , 30.076923 , 0
28 , 55.000000 , 32.846153 , 0
29 , 60.000000 , 36.653847 , 0
30 , 63.000000 , 36.653847 , 0
