Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 26
0 , 20.000000 , 20.000000 , 0
1 , 89.000000 , 77.461540 , 0
2 , 56.000000 , 19.576923 , 0
3 , 48.000000 , 28.192308 , 0
4 , 55.000000 , 30.269230 , 0
5 , 48.000000 , 27.846153 , 0
6 , 53.000000 , 35.807693 , 0
7 , 52.000000 , 29.192308 , 0
8 , 56.000000 , 23.115385 , 0
9 , 54.000000 , 25.961538 , 0
10 , 49.000000 , 32.423077 , 0
11 , 58.000000 , 36.653847 , 0
12 , 55.000000 , 30.769230 , 0
13 , 57.000000 , 33.961540 , 0
14 , 59.000000 , 34.000000 , 0
15 , 66.000000 , 34.038460 , 0
16 , 68.000000 , 41.923077 , 0
17 , 62.000000 , 46.538460 , 0
18 , 68.000000 , 48.346153 , 0
19 , 70.000000 , 53.192307 , 0
20 , 77.000000 , 42.653847 , 0
21 , 72.000000 , 43.461540 , 0
22 , 62.000000 , 49.961540 , 0
23 , 59.000000 , 53.153847 , 0
24 , 61.000000 , 52.538460 , 0
25 , 76.000000 , 55.192307 , 0
26 , 92.000000 , 66.423080 , 0
27 , 91.000000 , 64.269234 , 0
28 , 68.000000 , 54.384617 , 0
29 , 62.000000 , 47.461540 , 0
30 , 51.000000 , 40.153847 , 0
