Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 96.447800 , 20.209770 , 0
2 , 91.836746 , 46.219223 , 0
3 , 92.909256 , 50.659721 , 0
4 , 73.139664 , 36.395123 , 0
5 , 82.174995 , 33.852272 , 0
6 , 75.603233 , 32.837196 , 0
7 , 87.619095 , 38.909924 , 0
8 , 75.452255 , 37.570438 , 0
9 , 73.159409 , 32.763268 , 0
10 , 73.037712 , 29.016146 , 0
11 , 67.116577 , 32.896255 , 0
12 , 68.267143 , 28.623867 , 0
13 , 59.314697 , 26.794832 , 0
14 , 66.376488 , 30.050165 , 0
15 , 60.585648 , 31.440699 , 0
16 , 30.689140 , 14.643481 , 0
17 , 38.750973 , 13.948566 , 0
18 , 22.600960 , 9.368103 , 0
19 , 19.743803 , 6.325806 , 0
20 , 21.255190 , 8.659095 , 0
21 , 16.829193 , 7.018591 , 0
22 , 10.745699 , 4.810848 , 0
23 , 12.193604 , 4.834441 , 0
24 , 9.358736 , 3.845150 , 0
25 , 13.541203 , 4.730465 , 0
26 , 10.812690 , 4.460455 , 0
27 , 7.698021 , 3.643609 , 0
28 , 5.980445 , 2.394474 , 0
29 , 6.125393 , 2.033032 , 0
30 , 7.077820 , 2.144475 , 0
31 , 7.935012 , 2.861649 , 0
32 , 8.212600 , 2.593844 , 0
33 , 12.123346 , 4.645415 , 0
34 , 10.961657 , 3.157474 , 0
35 , 11.358790 , 3.080493 , 0
36 , 8.180927 , 2.711940 , 0
37 , 6.628369 , 2.155828 , 0
38 , 3.713614 , 1.667379 , 0
39 , 4.820444 , 1.878205 , 0
40 , 7.074203 , 3.017561 , 0
41 , 3.741072 , 1.300252 , 0
42 , 3.952000 , 0.978559 , 0
43 , 3.192414 , 0.995103 , 0
44 , 2.309105 , 0.780176 , 0
45 , 1.751814 , 0.695732 , 0
46 , 3.426082 , 0.988313 , 0
