Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 25
0 , 0.000000 , 0.000000 , 0
1 , 75.000000 , 73.375000 , 0
2 , 57.000000 , 36.416668 , 0
3 , 41.000004 , 26.458334 , 0
4 , 31.000000 , 27.250000 , 0
5 , 28.000000 , 23.208334 , 0
6 , 39.999996 , 31.041666 , 0
7 , 34.000000 , 27.833334 , 0
8 , 35.000000 , 30.208334 , 0
9 , 33.000000 , 28.125000 , 0
10 , 38.000000 , 30.416666 , 0
11 , 32.000000 , 23.416666 , 0
12 , 33.000000 , 28.708334 , 0
13 , 44.000000 , 34.666668 , 0
14 , 42.000000 , 32.791668 , 0
15 , 45.999996 , 34.750000 , 0
16 , 39.000000 , 32.250000 , 0
17 , 33.000000 , 31.416666 , 0
18 , 33.000000 , 30.541666 , 0
19 , 35.000000 , 29.583334 , 0
20 , 28.000000 , 25.750000 , 0
21 , 36.000000 , 26.708334 , 0
22 , 30.000000 , 23.125000 , 0
23 , 39.000000 , 26.500000 , 0
24 , 42.000000 , 37.208332 , 0
25 , 31.000000 , 28.625000 , 0
26 , 39.000000 , 29.916666 , 0
27 , 34.000000 , 25.125000 , 0
28 , 32.000000 , 26.375000 , 0
29 , 22.000000 , 21.166666 , 0
30 , 27.000000 , 23.666666 , 0
31 , 30.000000 , 26.625000 , 0
32 , 30.000000 , 25.791666 , 0
33 , 31.000000 , 26.583334 , 0
34 , 35.000000 , 29.500000 , 0
35 , 25.000000 , 24.083334 , 0
36 , 28.000000 , 26.625000 , 0
37 , 31.000000 , 29.833334 , 0
38 , 26.000000 , 23.625000 , 0
39 , 18.000000 , 17.166666 , 0
40 , 34.000000 , 32.750000 , 0
41 , 31.000000 , 31.000000 , 0
42 , 25.000000 , 25.000000 , 0
43 , 25.000000 , 25.000000 , 0
