Training Levels:,Resources/level/trainlevels/lvl-2,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
0 , 0.000000 , 0.000000 , 0
1 , 12.946397 , 1.098687 , 0
2 , 78.625732 , 5.834334 , 0
3 , 100.000000 , 31.662868 , 4
