Training Levels:,Resources/level/trainlevels/lvl-2,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 36.261311 , 3.218796 , 0
2 , 87.517754 , 14.124875 , 0
3 , 100.000000 , 22.638130 , 1
