Training Levels:,Resources/level/trainlevels/lvl-1,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
0 , 0.000000 , 0.000000 , 0
1 , 18.029156 , 1.194969 , 0
2 , 22.446995 , 3.774995 , 0
3 , 53.529758 , 3.149149 , 0
4 , 55.215347 , 2.875386 , 0
5 , 53.842926 , 4.433921 , 0
6 , 54.440331 , 3.972060 , 0
7 , 56.803154 , 4.917744 , 0
8 , 56.805462 , 5.186046 , 0
9 , 56.812645 , 7.989736 , 0
10 , 56.816143 , 8.605357 , 0
11 , 56.788612 , 5.562464 , 0
12 , 56.816952 , 7.226236 , 0
13 , 56.816952 , 6.531722 , 0
14 , 56.818176 , 5.234220 , 0
15 , 25.379023 , 3.987074 , 0
16 , 25.379023 , 4.608966 , 0
17 , 51.554794 , 4.944527 , 0
18 , 51.554794 , 2.970155 , 0
19 , 51.661556 , 3.226576 , 0
20 , 49.384247 , 2.004437 , 0
21 , 56.816910 , 2.244713 , 0
22 , 56.816910 , 2.747488 , 0
23 , 56.816910 , 8.354033 , 0
24 , 56.816910 , 6.306872 , 0
25 , 56.816910 , 6.092230 , 0
26 , 56.816910 , 7.274133 , 0
27 , 56.816910 , 6.273643 , 0
28 , 56.816910 , 6.246729 , 0
29 , 56.816910 , 4.788503 , 0
30 , 56.816910 , 7.852147 , 0
31 , 56.816910 , 7.319543 , 0
32 , 56.816910 , 6.165444 , 0
33 , 56.816910 , 8.595859 , 0
34 , 56.816910 , 7.131715 , 0
35 , 56.816910 , 6.506790 , 0
36 , 51.928772 , 6.429347 , 0
37 , 56.816910 , 7.175292 , 0
38 , 56.816910 , 7.889813 , 0
39 , 56.816910 , 5.341765 , 0
40 , 56.816910 , 6.276755 , 0
41 , 56.816910 , 4.330266 , 0
42 , 56.816910 , 5.543477 , 0
43 , 56.816910 , 8.456641 , 0
44 , 56.816910 , 7.572417 , 0
45 , 56.816910 , 8.420178 , 0
46 , 56.809669 , 8.102200 , 0
47 , 56.816910 , 6.663309 , 0
48 , 56.816910 , 8.197776 , 0
49 , 56.816910 , 8.101340 , 0
50 , 56.816910 , 8.535328 , 0
51 , 56.809669 , 7.128018 , 0
52 , 56.816910 , 7.510309 , 0
53 , 56.816910 , 6.394293 , 0
54 , 56.816910 , 4.266472 , 0
55 , 56.816910 , 6.420719 , 0
56 , 56.816910 , 7.173176 , 0
57 , 56.816910 , 8.646473 , 0
58 , 56.816910 , 6.741927 , 0
59 , 56.816910 , 6.737592 , 0
60 , 56.809669 , 8.921321 , 0
61 , 56.816910 , 6.208245 , 0
62 , 56.809669 , 5.094053 , 0
63 , 56.816910 , 5.106920 , 0
64 , 56.816910 , 5.048380 , 0
65 , 56.816910 , 5.837746 , 0
66 , 56.816910 , 7.836570 , 0
67 , 56.816910 , 5.675402 , 0
68 , 56.816910 , 5.084343 , 0
69 , 56.809669 , 4.555494 , 0
70 , 56.816910 , 6.309812 , 0
71 , 56.816910 , 6.621115 , 0
72 , 56.816910 , 6.985098 , 0
73 , 56.816910 , 5.192538 , 0
74 , 56.816910 , 5.073006 , 0
75 , 56.816910 , 5.463358 , 0
76 , 56.816910 , 5.312406 , 0
77 , 56.816910 , 4.996786 , 0
78 , 56.816910 , 5.116920 , 0
79 , 56.816910 , 5.565794 , 0
80 , 56.772686 , 4.818611 , 0
81 , 60.693287 , 5.976396 , 0
82 , 71.443710 , 5.715521 , 0
83 , 77.929230 , 5.835807 , 0
84 , 77.914276 , 6.899878 , 0
85 , 77.966522 , 8.650726 , 0
86 , 77.966522 , 7.701932 , 0
87 , 77.966522 , 5.316152 , 0
88 , 77.975021 , 7.783739 , 0
89 , 77.932945 , 6.741227 , 0
90 , 77.975021 , 8.088706 , 0
91 , 78.028831 , 8.402861 , 0
92 , 83.591270 , 8.698436 , 0
93 , 33.449966 , 5.655106 , 0
94 , 39.419903 , 5.992885 , 0
95 , 76.948410 , 7.581306 , 0
96 , 76.924072 , 8.983441 , 0
97 , 82.772980 , 3.848098 , 0
98 , 82.772980 , 2.251326 , 0
99 , 38.247025 , 1.868556 , 0
100 , 38.247025 , 4.120360 , 0
101 , 38.247025 , 4.495344 , 0
102 , 77.337440 , 5.239446 , 0
103 , 100.000000 , 12.017411 , 1
