Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 98.626068 , 16.605886 , 0
2 , 95.542816 , 50.377392 , 0
3 , 92.323990 , 44.142208 , 0
4 , 82.529785 , 32.040844 , 0
5 , 42.481670 , 13.455735 , 0
6 , 34.193016 , 12.415902 , 0
7 , 53.732662 , 14.475791 , 0
8 , 50.584404 , 14.643518 , 0
9 , 38.427963 , 11.839535 , 0
10 , 35.533176 , 11.224929 , 0
11 , 56.258080 , 12.264610 , 0
12 , 24.858408 , 8.122227 , 0
13 , 19.074301 , 6.435523 , 0
14 , 11.221121 , 3.973220 , 0
15 , 17.543684 , 4.474115 , 0
16 , 12.549071 , 5.021411 , 0
17 , 16.368593 , 4.994766 , 0
18 , 10.789206 , 4.323838 , 0
19 , 15.321972 , 4.868324 , 0
20 , 26.694458 , 6.815666 , 0
21 , 25.570728 , 7.100681 , 0
22 , 29.521511 , 4.691817 , 0
23 , 18.054144 , 5.375222 , 0
