Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 0.000000 , 0.000000 , 0
4 , 0.000000 , 0.000000 , 0
5 , 1.221480 , 0.012215 , 0
6 , 19.676065 , 3.083269 , 0
7 , 24.985298 , 6.944376 , 0
8 , 19.676065 , 6.850925 , 0
9 , 19.248323 , 8.464233 , 0
10 , 24.985298 , 9.538917 , 0
11 , 24.973434 , 8.109943 , 0
12 , 23.515959 , 9.613335 , 0
13 , 21.862137 , 8.891369 , 0
14 , 27.713806 , 9.248639 , 0
15 , 21.192934 , 7.572921 , 0
16 , 19.501001 , 6.474689 , 0
17 , 19.653597 , 7.961460 , 0
18 , 20.007952 , 7.361800 , 0
19 , 17.646006 , 6.350285 , 0
20 , 15.518594 , 5.147413 , 0
21 , 13.565075 , 3.599600 , 0
22 , 24.477098 , 4.638497 , 0
23 , 26.417280 , 5.380192 , 0
24 , 20.033859 , 9.004997 , 0
25 , 18.137640 , 9.491166 , 0
26 , 16.194441 , 8.284840 , 0
27 , 24.758774 , 7.082864 , 0
28 , 26.706690 , 6.381605 , 0
29 , 30.061556 , 7.509984 , 0
30 , 21.335009 , 6.529802 , 0
31 , 24.752426 , 6.610411 , 0
32 , 22.852859 , 7.120614 , 0
33 , 13.927109 , 5.277956 , 0
34 , 16.299330 , 4.446110 , 0
35 , 9.829526 , 3.262168 , 0
36 , 10.109548 , 4.715685 , 0
37 , 12.287539 , 4.816928 , 0
38 , 8.501954 , 3.573369 , 0
39 , 8.231791 , 4.354737 , 0
40 , 9.803201 , 3.422496 , 0
41 , 12.252323 , 3.372497 , 0
42 , 16.743851 , 3.737162 , 0
43 , 18.640686 , 4.106657 , 0
44 , 17.854401 , 4.695119 , 0
45 , 19.501253 , 5.756541 , 0
46 , 18.136806 , 4.986864 , 0
47 , 16.479931 , 3.878528 , 0
48 , 13.709320 , 3.817079 , 0
49 , 9.530014 , 2.578712 , 0
50 , 8.367337 , 2.326277 , 0
51 , 12.952123 , 4.928147 , 0
52 , 12.510175 , 4.699208 , 0
53 , 12.070576 , 3.512535 , 0
54 , 10.094992 , 2.796037 , 0
55 , 11.373084 , 3.541051 , 0
56 , 9.843228 , 3.524105 , 0
57 , 9.619734 , 3.993762 , 0
58 , 8.765344 , 4.339429 , 0
59 , 9.550780 , 4.355803 , 0
60 , 11.384297 , 2.807725 , 0
61 , 11.689072 , 3.586681 , 0
62 , 11.126742 , 4.208910 , 0
63 , 8.750401 , 3.083627 , 0
64 , 8.141922 , 2.935317 , 0
65 , 7.543192 , 2.223657 , 0
66 , 8.538711 , 2.428475 , 0
67 , 6.694326 , 3.024516 , 0
68 , 6.883604 , 3.130841 , 0
69 , 7.348907 , 3.154927 , 0
70 , 6.689374 , 2.807420 , 0
71 , 5.208049 , 2.681550 , 0
72 , 5.407566 , 2.361722 , 0
73 , 4.628771 , 2.303567 , 0
74 , 5.761895 , 2.276975 , 0
75 , 5.391387 , 2.030111 , 0
76 , 4.670652 , 1.732554 , 0
77 , 3.650048 , 1.705518 , 0
78 , 3.794715 , 1.977776 , 0
79 , 3.645730 , 1.683053 , 0
80 , 3.189315 , 1.652520 , 0
81 , 4.250086 , 1.748580 , 0
82 , 3.835344 , 1.788052 , 0
83 , 3.493952 , 1.803724 , 0
84 , 2.389693 , 1.147987 , 0
85 , 2.101230 , 1.073943 , 0
86 , 2.717823 , 1.035632 , 0
87 , 3.079314 , 0.823642 , 0
88 , 3.065262 , 1.064066 , 0
89 , 3.177917 , 1.343910 , 0
90 , 2.911949 , 1.167007 , 0
91 , 3.006186 , 1.141035 , 0
92 , 2.308061 , 0.898170 , 0
