Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 26
0 , 75.000000 , 75.000000 , 0
1 , 85.000000 , 78.500000 , 0
2 , 59.000000 , 25.192308 , 0
3 , 39.999996 , 24.615385 , 0
4 , 39.999996 , 23.538462 , 0
5 , 39.999996 , 24.653847 , 0
6 , 45.000000 , 28.500000 , 0
7 , 66.000000 , 30.076923 , 0
8 , 62.000000 , 28.576923 , 0
9 , 60.000000 , 27.769230 , 0
10 , 59.000000 , 33.500000 , 0
11 , 45.999996 , 26.038462 , 0
12 , 43.000000 , 21.961538 , 0
13 , 65.000000 , 27.230770 , 0
14 , 63.000000 , 27.692308 , 0
15 , 60.000000 , 31.230770 , 0
16 , 67.000000 , 31.038462 , 0
17 , 66.000000 , 27.076923 , 0
18 , 60.000000 , 31.230770 , 0
19 , 54.000000 , 36.961540 , 0
20 , 61.000000 , 50.807693 , 0
21 , 35.000000 , 30.153847 , 0
22 , 49.000000 , 26.653847 , 0
23 , 56.000000 , 32.500000 , 0
24 , 57.000000 , 32.269230 , 0
25 , 63.000000 , 32.846153 , 0
26 , 61.000000 , 34.730770 , 0
27 , 87.000000 , 55.269230 , 0
28 , 78.000000 , 51.115383 , 0
29 , 86.000000 , 49.692307 , 0
30 , 87.000000 , 48.961540 , 0
31 , 80.000000 , 50.384617 , 0
32 , 80.000000 , 57.846153 , 0
33 , 75.000000 , 57.576923 , 0
34 , 68.000000 , 56.269230 , 0
35 , 59.000000 , 47.153847 , 0
36 , 69.000000 , 45.230770 , 0
37 , 82.000000 , 48.000000 , 0
38 , 71.000000 , 47.307693 , 0
39 , 55.000000 , 41.846153 , 0
40 , 66.000000 , 44.807693 , 0
41 , 68.000000 , 49.500000 , 0
42 , 65.000000 , 44.423077 , 0
43 , 71.000000 , 48.076923 , 0
44 , 63.000000 , 49.461540 , 0
45 , 57.000000 , 44.115383 , 0
46 , 59.000000 , 42.423077 , 0
47 , 73.000000 , 40.615383 , 0
48 , 52.000000 , 38.961540 , 0
49 , 56.000000 , 37.076923 , 0
50 , 59.000000 , 45.653847 , 0
51 , 63.000000 , 54.346153 , 0
52 , 67.000000 , 43.615383 , 0
