Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,18.229168,0.060764,0
6,18.229168,7.535875,0
7,18.229168,12.50349,0
8,24.218746,16.222223,0
9,24.565973,17.74218,0
10,49.392365,18.627892,0
11,48.263893,19.209507,0
12,48.263893,19.48208,0
13,49.392365,19.659161,0
14,49.392365,20.337101,0
15,49.392365,18.603312,0
16,49.392365,21.05814,0
17,49.392365,20.850386,0
18,52.517361,21.245966,0
19,31.25,21.015625,0
20,31.25,21.119791,0
21,23.4375,21.015625,0
22,23.4375,20.78125,0
23,23.4375,20.546875,0
24,23.4375,20.3125,0
25,73.480919,14.311171,0
26,598.958374,31.412336,7
27,100,20.202114,7
28,31.25,16.002605,0
29,599.262146,16.99514,1
30,599.392395,263.110657,127
31,599.392395,156.851868,72
32,599.739624,143.477936,67
33,599.739624,61.912846,24
34,600,152.119308,68
35,600,109.845093,46
36,600,116.711288,52
37,600,144.598267,66
38,600,85.657005,36
39,600,88.316612,39
40,600,97.267693,45
41,600,81.606758,37
42,600,75.222076,35
43,600,72.996338,34
44,600,66.708733,31
45,600,43.242371,19
46,600,31.081348,13
47,600,93.402946,42
48,600,120.521774,55
49,600,133.154816,63
50,600,98.609718,45
51,600,114.121849,54
52,600,78.537933,36
53,600,99.107018,47
54,600,58.84882,27
55,600,77.395958,36
56,600,194.875763,92
57,600,194.37616,90
58,600,324.168945,156
59,600,262.510956,126
60,600,265.007355,127
61,600,244.741776,117
62,600,184.21283,86
63,600,235.692062,111
64,600,157.902649,70
65,600,163.693283,73
66,600,177.893158,79
67,600,86.942673,36
68,600,148.515976,67
69,600,128.910461,59
70,600,135.080811,62
71,600,119.771835,54
72,600,213.662125,104
73,600,168.204132,81
74,600,185.329498,90
75,600,106.617828,50
76,600,88.568466,40
77,600,93.456879,42
78,600,61.862583,28
79,600,131.792816,63
80,600,72.976273,34
81,600,78.191811,37
82,600,182.296844,89
83,600,147.171204,69
84,600,207.74353,98
85,600,212.508987,98
86,600,214.828659,100
87,600,153.080994,68
88,600,169.7164,79
89,600,103.714592,46
90,600,213.434097,98
91,600,247.067154,116
92,600,215.115417,100
93,600,238.368042,114
94,600,176.041534,81
95,600,104.990631,44
96,600,178.607193,83
97,600,165.956146,78
98,600,168.635696,80
99,600,241.270081,116
100,600,178.75032,84
101,600,235.097763,112
102,600,267.158783,128
103,600,230.272369,111
104,600,273.306915,132
105,600,162.527863,73
106,600,229.440781,109
107,600,118.887085,52
108,600,196.765274,89
109,600,104.515167,45
110,600,143.608231,68
111,600,121.695107,57
112,600,257.117493,122
113,600,214.710342,102
114,600,124.627953,55
115,600,144.088196,64
116,600,209.585541,96
117,600,234.943939,109
118,600,179.253372,82
119,600,226.516174,104
120,600,201.63562,93
121,600,189.876465,86
122,600,222.382675,101
123,600,200.406891,90
124,600,225.725601,103
125,600,203.024185,92
126,600,258.601837,119
127,600,211.533066,94
128,600,195.886185,85
129,600,146.386795,62
130,600,163.261108,68
131,600,184.755859,81
132,600,170.37088,73
133,600,179.408005,79
134,600,183.392288,83
135,600,169.923706,75
136,600,272.27179,128
