Gen Num , Highest Fitness, Average Fitness, Population Size: 200
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 0.000000 , 0.000000 , 0
4 , 0.000000 , 0.000000 , 0
5 , 0.000000 , 0.000000 , 0
6 , 0.000000 , 0.000000 , 0
7 , 0.000000 , 0.000000 , 0
8 , 0.000000 , 0.000000 , 0
9 , 0.000000 , 0.000000 , 0
10 , 0.000000 , 0.000000 , 0
11 , 0.000000 , 0.000000 , 0
12 , 0.000000 , 0.000000 , 0
13 , 1.871204 , 0.009356 , 0
14 , 3.189613 , 1.636687 , 0
15 , 3.189613 , 2.054796 , 0
16 , 3.189613 , 2.241604 , 0
17 , 3.189613 , 1.946874 , 0
18 , 3.191350 , 2.093876 , 0
19 , 3.191398 , 2.223134 , 0
20 , 6.069998 , 2.225438 , 0
21 , 7.266351 , 3.485717 , 0
22 , 9.354048 , 2.519098 , 0
23 , 11.701834 , 3.526321 , 0
24 , 11.701834 , 4.487850 , 0
25 , 11.701834 , 4.456396 , 0
26 , 11.701834 , 4.325109 , 0
27 , 17.501337 , 4.076420 , 0
28 , 17.529039 , 6.310658 , 0
29 , 17.526077 , 5.954224 , 0
30 , 13.827291 , 5.918707 , 0
31 , 17.526077 , 4.496554 , 0
32 , 19.897247 , 4.414071 , 0
33 , 19.990803 , 4.589787 , 0
34 , 19.894285 , 4.889487 , 0
35 , 20.037750 , 5.154246 , 0
36 , 19.897247 , 4.097339 , 0
37 , 20.077095 , 4.468588 , 0
38 , 19.939356 , 4.856388 , 0
39 , 13.827291 , 5.159670 , 0
40 , 22.083225 , 4.518568 , 0
41 , 21.294666 , 4.576433 , 0
42 , 22.135242 , 4.546482 , 0
43 , 22.135242 , 5.167548 , 0
44 , 13.826640 , 4.984649 , 0
45 , 21.772268 , 4.634534 , 0
46 , 22.184233 , 6.931619 , 0
47 , 22.184233 , 7.423427 , 0
48 , 22.197435 , 8.022449 , 0
49 , 22.197435 , 7.877170 , 0
50 , 22.195591 , 7.477902 , 0
51 , 22.195591 , 3.291769 , 0
52 , 22.195591 , 4.071405 , 0
53 , 22.213329 , 3.441044 , 0
54 , 22.213329 , 3.267534 , 0
55 , 22.213329 , 3.201105 , 0
56 , 22.213329 , 3.790422 , 0
57 , 22.213329 , 3.311502 , 0
58 , 22.213329 , 2.786157 , 0
59 , 23.831419 , 3.424397 , 0
60 , 24.277868 , 8.154439 , 0
61 , 24.184513 , 8.828404 , 0
62 , 24.466969 , 12.270020 , 0
63 , 54.212425 , 12.544916 , 0
64 , 84.040741 , 16.365959 , 0
65 , 96.547966 , 19.395674 , 0
66 , 599.923279 , 27.404242 , 1
67 , 599.986938 , 42.461529 , 7
