Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 100.000000 , 3.000000 , 3
3 , 100.000000 , 39.000000 , 39
4 , 100.000000 , 35.000000 , 35
5 , 100.000000 , 30.000000 , 30
6 , 100.000000 , 20.000000 , 20
7 , 100.000000 , 35.000000 , 35
8 , 100.000000 , 26.000000 , 26
9 , 100.000000 , 31.000000 , 31
10 , 100.000000 , 30.000000 , 30
11 , 100.000000 , 40.000000 , 40
12 , 100.000000 , 65.000000 , 65
13 , 100.000000 , 25.000000 , 25
14 , 100.000000 , 40.000000 , 40
15 , 100.000000 , 16.000000 , 16
16 , 100.000000 , 40.000000 , 40
17 , 100.000000 , 36.000000 , 36
18 , 100.000000 , 30.000000 , 30
19 , 100.000000 , 37.000000 , 37
20 , 100.000000 , 30.000000 , 30
21 , 100.000000 , 76.000000 , 76
22 , 100.000000 , 60.000000 , 60
23 , 100.000000 , 54.000000 , 54
24 , 100.000000 , 45.000000 , 45
25 , 100.000000 , 67.000000 , 67
26 , 100.000000 , 51.000000 , 51
27 , 100.000000 , 96.000000 , 96
