Gen Num , Highest Fitness, Average Fitness, Population Size: 150
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 0.000000 , 0.000000 , 0
4 , 0.000000 , 0.000000 , 0
5 , 0.000000 , 0.000000 , 0
6 , 0.000000 , 0.000000 , 0
7 , 0.000000 , 0.000000 , 0
8 , 12.563799 , 0.083759 , 0
9 , 27.072630 , 9.725934 , 0
10 , 32.482368 , 20.675013 , 0
11 , 38.309341 , 18.781891 , 0
12 , 40.856049 , 26.946415 , 0
13 , 47.590317 , 34.259125 , 0
14 , 63.957363 , 41.034473 , 0
15 , 599.552551 , 63.095898 , 1
16 , 599.918091 , 120.077705 , 17
