Gen Num , Highest Fitness, Average Fitness, Population Size: 300
0 , 0.000000 , 0.000000 , 0
1 , 593.750000 , 2.178096 , 1
2 , 597.656250 , 136.314453 , 63
3 , 600.000000 , 304.422485 , 149
4 , 600.000000 , 199.864487 , 94
5 , 600.000000 , 203.894684 , 98
6 , 600.000000 , 123.515381 , 55
7 , 600.000000 , 145.494888 , 70
8 , 600.000000 , 108.283104 , 51
9 , 600.000000 , 99.687622 , 47
10 , 600.000000 , 119.143707 , 57
11 , 600.000000 , 252.714844 , 119
12 , 600.000000 , 384.275879 , 186
13 , 600.000000 , 380.436340 , 182
14 , 600.000000 , 350.931030 , 166
15 , 600.000000 , 387.670227 , 187
16 , 600.000000 , 365.230438 , 175
17 , 600.000000 , 384.982819 , 186
18 , 600.000000 , 353.625183 , 170
19 , 600.000000 , 374.676361 , 182
20 , 600.000000 , 368.648712 , 178
21 , 600.000000 , 318.851440 , 152
22 , 600.000000 , 344.680573 , 164
23 , 600.000000 , 346.796967 , 168
