Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 27.815056 , 2.182013 , 0
2 , 47.691818 , 9.654789 , 0
3 , 47.704449 , 10.292334 , 0
4 , 47.725590 , 11.070232 , 0
5 , 47.725590 , 11.038440 , 0
6 , 47.725590 , 12.521252 , 0
7 , 47.725590 , 9.427467 , 0
8 , 47.725590 , 10.525471 , 0
9 , 88.634628 , 12.703321 , 0
10 , 88.636055 , 14.332725 , 0
11 , 88.636276 , 21.121584 , 0
12 , 88.636276 , 21.746571 , 0
13 , 88.636192 , 19.885893 , 0
14 , 88.636276 , 17.196856 , 0
15 , 88.636276 , 17.236380 , 0
16 , 88.636276 , 20.066338 , 0
17 , 88.636276 , 14.389909 , 0
18 , 92.613281 , 16.219318 , 0
19 , 93.163742 , 15.740122 , 0
20 , 599.804871 , 21.024921 , 1
