Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 0.000000 , 0.000000 , 0
2 , 0.000000 , 0.000000 , 0
3 , 0.000000 , 0.000000 , 0
4 , 0.000000 , 0.000000 , 0
5 , 0.000000 , 0.000000 , 0
6 , 100.000000 , 1.000000 , 1
7 , 0.000000 , 0.000000 , 0
8 , 0.000000 , 0.000000 , 0
9 , 0.000000 , 0.000000 , 0
10 , 0.000000 , 0.000000 , 0
11 , 0.000000 , 0.000000 , 0
12 , 100.000000 , 1.000000 , 1
13 , 100.000000 , 1.000000 , 1
14 , 0.000000 , 0.000000 , 0
15 , 100.000000 , 1.000000 , 1
16 , 0.000000 , 0.000000 , 0
17 , 0.000000 , 0.000000 , 0
18 , 0.000000 , 0.000000 , 0
19 , 0.000000 , 0.000000 , 0
20 , 0.000000 , 0.000000 , 0
21 , 100.000000 , 1.000000 , 1
22 , 0.000000 , 0.000000 , 0
23 , 0.000000 , 0.000000 , 0
24 , 100.000000 , 1.000000 , 1
25 , 0.000000 , 0.000000 , 0
26 , 100.000000 , 1.000000 , 1
27 , 100.000000 , 1.000000 , 1
28 , 0.000000 , 0.000000 , 0
29 , 0.000000 , 0.000000 , 0
30 , 100.000000 , 1.000000 , 1
31 , 100.000000 , 1.000000 , 1
32 , 0.000000 , 0.000000 , 0
33 , 0.000000 , 0.000000 , 0
34 , 100.000000 , 1.000000 , 1
35 , 100.000000 , 1.000000 , 1
36 , 100.000000 , 1.000000 , 1
37 , 0.000000 , 0.000000 , 0
38 , 100.000000 , 1.000000 , 1
39 , 100.000000 , 1.000000 , 1
40 , 100.000000 , 1.000000 , 1
41 , 100.000000 , 1.000000 , 1
42 , 100.000000 , 1.000000 , 1
43 , 0.000000 , 0.000000 , 0
44 , 100.000000 , 1.000000 , 1
45 , 100.000000 , 1.000000 , 1
46 , 100.000000 , 1.000000 , 1
47 , 100.000000 , 1.000000 , 1
48 , 100.000000 , 1.000000 , 1
49 , 100.000000 , 1.000000 , 1
50 , 100.000000 , 1.000000 , 1
51 , 100.000000 , 1.000000 , 1
52 , 100.000000 , 2.000000 , 2
53 , 100.000000 , 39.000000 , 39
54 , 100.000000 , 60.000000 , 60
55 , 100.000000 , 60.000000 , 60
56 , 100.000000 , 60.000000 , 60
57 , 100.000000 , 55.000000 , 55
58 , 100.000000 , 45.000000 , 45
59 , 100.000000 , 45.000000 , 45
60 , 100.000000 , 60.000000 , 60
61 , 100.000000 , 60.000000 , 60
62 , 100.000000 , 33.000000 , 33
63 , 100.000000 , 55.000000 , 55
64 , 100.000000 , 60.000000 , 60
65 , 100.000000 , 55.000000 , 55
66 , 100.000000 , 45.000000 , 45
67 , 100.000000 , 60.000000 , 60
68 , 100.000000 , 60.000000 , 60
69 , 100.000000 , 65.000000 , 65
70 , 100.000000 , 50.000000 , 50
71 , 100.000000 , 41.000000 , 41
72 , 100.000000 , 65.000000 , 65
73 , 100.000000 , 55.000000 , 55
74 , 100.000000 , 60.000000 , 60
75 , 100.000000 , 65.000000 , 65
76 , 100.000000 , 55.000000 , 55
77 , 100.000000 , 50.000000 , 50
78 , 100.000000 , 60.000000 , 60
79 , 100.000000 , 40.000000 , 40
80 , 100.000000 , 55.000000 , 55
81 , 100.000000 , 65.000000 , 65
82 , 100.000000 , 50.000000 , 50
83 , 100.000000 , 40.000000 , 40
84 , 100.000000 , 55.000000 , 55
85 , 100.000000 , 70.000000 , 70
86 , 100.000000 , 80.000000 , 80
87 , 100.000000 , 55.000000 , 55
88 , 100.000000 , 55.000000 , 55
89 , 100.000000 , 50.000000 , 50
90 , 100.000000 , 80.000000 , 80
91 , 100.000000 , 75.000000 , 75
92 , 100.000000 , 55.000000 , 55
93 , 100.000000 , 50.000000 , 50
