Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 66.056091 , 13.174282 , 0
2 , 72.995338 , 25.950491 , 0
3 , 81.972656 , 28.502419 , 0
4 , 82.675110 , 28.657063 , 0
5 , 69.383751 , 26.689766 , 0
6 , 73.556213 , 27.460649 , 0
7 , 67.974030 , 27.105545 , 0
8 , 58.654224 , 22.307724 , 0
9 , 56.661499 , 26.302923 , 0
10 , 56.723873 , 22.097126 , 0
11 , 52.430080 , 22.419228 , 0
12 , 49.272053 , 20.264183 , 0
13 , 44.018040 , 20.622238 , 0
14 , 41.339886 , 17.272102 , 0
