Training Levels:,Resources/level/trainlevels/lvl-2,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0,0,0,0
1,19.993656,1.918329,0
2,93.160629,14.064025,0
3,100,42.819164,2
