Training Levels:,Resources/level/validationlevels/lvl-2,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 36.132751 , 2.878094 , 0
2 , 100.000000 , 38.883530 , 1
3 , 100.000000 , 444.354095 , 73
