Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
225,70.454445,13.089519,0
226,70.454445,10.913568,0
227,70.454445,12.902658,0
228,70.454445,10.966089,0
229,70.454445,13.053043,0
230,70.454445,13.230194,0
231,70.454445,14.877435,0
232,70.454445,12.040668,0
233,70.454445,16.226128,0
234,70.454445,13.578445,0
235,70.454445,15.061688,0
236,70.454445,14.550094,0
237,70.454445,14.657644,0
238,70.454445,15.104852,0
239,70.454445,9.795381,0
240,70.454445,15.69808,0
241,70.454445,16.22909,0
242,70.454445,16.213717,0
243,70.454445,14.439357,0
244,70.454445,16.381144,0
245,70.454445,18.979103,0
246,70.454445,10.030016,0
247,70.454445,11.124618,0
248,70.454445,12.077781,0
249,70.454445,9.402861,0
250,70.454445,14.040786,0
251,70.454445,8.882345,0
252,70.454445,11.003644,0
253,70.454445,12.783554,0
254,70.454445,11.452652,0
255,70.454445,13.546144,0
256,70.454445,13.28887,0
257,70.454445,15.70126,0
258,70.454445,12.153687,0
259,70.454445,16.93001,0
260,70.454445,15.210708,0
261,70.454445,14.500176,0
262,70.454445,15.305856,0
263,70.454445,12.343774,0
264,70.454445,15.613256,0
265,70.454445,13.062864,0
266,70.454445,14.379885,0
267,70.454445,15.45447,0
268,70.454445,14.084491,0
269,70.454445,13.934858,0
270,70.454445,13.339846,0
271,70.454445,15.120897,0
272,70.454445,11.790142,0
273,70.454445,13.815145,0
274,70.454445,14.328004,0
275,70.454445,12.89274,0
276,70.454445,11.817127,0
277,70.454445,16.715092,0
278,70.454445,14.179366,0
279,70.454445,10.208627,0
280,70.454445,10.984091,0
281,70.454445,11.684643,0
282,70.454445,13.807534,0
283,70.454445,15.184813,0
284,70.454445,12.902717,0
285,70.454445,12.790384,0
286,70.454445,14.848723,0
287,70.454445,17.694971,0
288,70.454445,16.416492,0
289,70.454445,14.761494,0
290,70.454445,13.876814,0
291,70.454445,12.682858,0
292,70.454445,14.467539,0
293,70.454445,11.863107,0
294,70.454445,13.92179,0
295,70.454445,15.714706,0
296,70.454445,15.297568,0
297,70.454445,13.827527,0
298,70.454445,14.168272,0
299,70.454445,18.000143,0
300,70.454445,17.559296,0
301,70.454445,12.448106,0
302,70.454445,14.24636,0
303,70.454445,13.869161,0
304,70.454445,13.199056,0
305,70.454445,15.346084,0
306,70.454445,15.464472,0
307,70.454445,15.249801,0
308,70.454445,14.487889,0
309,70.454445,13.473901,0
310,70.454445,16.122223,0
311,70.454445,10.189904,0
312,70.454445,12.178031,0
313,70.454445,12.588979,0
314,70.454445,11.041202,0
315,70.454445,11.481357,0
316,70.454445,10.853914,0
317,70.454445,12.728542,0
318,70.454445,17.760744,0
319,70.454445,14.943793,0
320,70.454445,14.05978,0
321,70.454445,14.091228,0
322,70.454445,15.257655,0
323,70.454445,12.623847,0
324,70.454445,13.815701,0
325,70.454445,14.979366,0
326,70.454445,16.046177,0
327,70.454445,15.753798,0
328,70.454445,12.209256,0
329,70.454445,13.839979,0
330,70.454445,13.259303,0
331,70.454445,11.129583,0
332,70.454445,14.200289,0
333,70.454445,11.203482,0
334,70.454445,14.867497,0
335,70.454445,12.856526,0
336,70.454445,12.004222,0
337,70.454445,12.425798,0
338,70.454445,14.444404,0
339,70.454445,11.555632,0
340,70.454445,14.808183,0
341,70.454445,16.930159,0
342,70.454445,17.649181,0
343,70.454445,11.352876,0
344,70.454445,14.837704,0
345,70.454445,16.115891,0
346,70.454445,14.810513,0
347,70.454445,13.209991,0
348,70.454445,10.758647,0
349,70.454445,11.408534,0
350,70.454445,8.208532,0
351,70.454445,14.609996,0
352,70.454445,16.168425,0
353,70.454445,19.133564,0
354,70.454445,11.41383,0
355,70.454445,15.544581,0
356,70.454445,12.917327,0
357,70.454445,14.869303,0
358,70.454445,13.789725,0
359,70.454445,13.30121,0
360,70.454445,9.571217,0
361,70.454445,11.637326,0
362,70.454445,13.271486,0
363,70.454445,12.956345,0
