Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
157 , 88.636322 , 35.606998 , 0
158 , 88.636322 , 32.552444 , 0
159 , 88.636322 , 44.121857 , 0
160 , 88.636322 , 38.407303 , 0
161 , 88.636322 , 35.502216 , 0
162 , 88.636322 , 38.357574 , 0
163 , 88.636322 , 32.820152 , 0
164 , 88.636322 , 38.830048 , 0
165 , 88.636322 , 42.940010 , 0
166 , 88.636322 , 35.925415 , 0
167 , 88.636322 , 34.477558 , 0
168 , 88.636322 , 38.774670 , 0
169 , 88.636322 , 35.600418 , 0
170 , 88.636322 , 40.912766 , 0
171 , 88.636322 , 38.798553 , 0
172 , 88.636322 , 37.100925 , 0
173 , 88.636322 , 40.948586 , 0
174 , 88.636322 , 32.662613 , 0
175 , 88.636322 , 35.461559 , 0
176 , 88.636322 , 35.206898 , 0
177 , 88.636322 , 41.127125 , 0
178 , 88.636322 , 38.088436 , 0
179 , 88.636322 , 39.561432 , 0
180 , 88.636322 , 33.851086 , 0
181 , 88.636322 , 37.150990 , 0
182 , 26.811075 , 15.474518 , 0
183 , 7.999188 , 6.046987 , 0
184 , 33.860672 , 13.812605 , 0
185 , 33.943214 , 18.621677 , 0
186 , 46.799210 , 16.942461 , 0
187 , 46.825581 , 22.756798 , 0
188 , 54.612751 , 24.750828 , 0
189 , 57.595707 , 23.539936 , 0
190 , 60.519100 , 26.399565 , 0
191 , 60.522640 , 32.590294 , 0
192 , 65.890434 , 31.893831 , 0
193 , 65.908218 , 27.051382 , 0
194 , 65.907585 , 35.688816 , 0
195 , 65.908218 , 29.357447 , 0
196 , 65.908218 , 32.991871 , 0
197 , 65.908218 , 35.055103 , 0
198 , 65.907928 , 35.992157 , 0
199 , 65.908417 , 27.493992 , 0
200 , 65.908417 , 26.271433 , 0
201 , 65.908417 , 28.048132 , 0
202 , 65.908470 , 24.548246 , 0
203 , 65.908470 , 33.816574 , 0
204 , 65.908470 , 32.182823 , 0
205 , 65.908470 , 29.310387 , 0
206 , 65.908470 , 32.503670 , 0
207 , 65.908470 , 32.127655 , 0
208 , 65.908470 , 32.542152 , 0
209 , 65.908470 , 32.018421 , 0
210 , 65.908470 , 29.321142 , 0
211 , 65.908470 , 32.455334 , 0
212 , 65.908470 , 32.625690 , 0
213 , 65.908707 , 28.514614 , 0
214 , 65.908707 , 26.502361 , 0
215 , 65.908707 , 31.659941 , 0
216 , 65.908707 , 28.356045 , 0
217 , 65.908707 , 28.448538 , 0
218 , 65.908707 , 29.327209 , 0
219 , 65.908470 , 29.512583 , 0
220 , 65.908470 , 30.957790 , 0
221 , 65.908470 , 26.632858 , 0
222 , 65.908470 , 34.048450 , 0
223 , 65.908470 , 31.640471 , 0
224 , 65.908470 , 33.398415 , 0
225 , 65.908470 , 25.894468 , 0
226 , 65.908470 , 31.474129 , 0
227 , 65.908470 , 34.180664 , 0
228 , 65.908470 , 31.798302 , 0
229 , 65.908470 , 26.319429 , 0
230 , 65.908470 , 29.831934 , 0
231 , 65.908470 , 32.429840 , 0
232 , 65.908470 , 30.812956 , 0
233 , 65.908661 , 32.175617 , 0
234 , 65.908661 , 24.846468 , 0
235 , 65.908821 , 29.700157 , 0
236 , 65.908821 , 19.671293 , 0
237 , 65.908821 , 22.038101 , 0
238 , 65.908821 , 24.515814 , 0
239 , 65.908417 , 26.463161 , 0
240 , 65.908470 , 28.625210 , 0
241 , 65.908470 , 30.038563 , 0
242 , 65.908470 , 30.040590 , 0
243 , 65.908470 , 25.957237 , 0
244 , 65.908470 , 28.405943 , 0
245 , 65.908470 , 27.037176 , 0
246 , 65.908470 , 29.903858 , 0
247 , 65.908470 , 31.737236 , 0
248 , 65.908470 , 27.454441 , 0
249 , 65.908470 , 33.374760 , 0
250 , 65.908684 , 30.739264 , 0
251 , 65.908684 , 27.857067 , 0
252 , 65.908684 , 28.016201 , 0
253 , 65.908684 , 29.678965 , 0
254 , 65.908684 , 23.154451 , 0
255 , 65.908684 , 28.719019 , 0
256 , 65.908684 , 27.066608 , 0
257 , 65.908684 , 26.040546 , 0
258 , 65.908821 , 23.466900 , 0
259 , 65.908012 , 25.680393 , 0
260 , 65.908821 , 26.168938 , 0
261 , 65.908821 , 25.605433 , 0
262 , 65.908417 , 31.033167 , 0
263 , 65.908470 , 24.601875 , 0
264 , 65.908470 , 26.167578 , 0
265 , 65.908470 , 29.204060 , 0
266 , 65.908470 , 24.196123 , 0
267 , 65.908470 , 24.134094 , 0
268 , 65.908470 , 27.294451 , 0
269 , 65.908707 , 26.907740 , 0
270 , 65.908707 , 32.978355 , 0
271 , 65.908707 , 23.739857 , 0
272 , 65.908707 , 37.537827 , 0
273 , 65.908707 , 32.758411 , 0
