Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 25
0 , 0.000000 , 0.000000 , 0
1 , 78.000000 , 73.416664 , 0
2 , 41.000004 , 26.916666 , 0
3 , 32.000000 , 26.916666 , 0
4 , 35.000000 , 19.208334 , 0
5 , 36.000000 , 24.541666 , 0
6 , 29.000000 , 23.750000 , 0
7 , 34.000000 , 27.958334 , 0
8 , 29.000000 , 23.291666 , 0
9 , 35.000000 , 31.416666 , 0
10 , 25.000000 , 22.958334 , 0
11 , 37.000000 , 25.916666 , 0
12 , 26.000000 , 20.250000 , 0
13 , 20.000000 , 18.583334 , 0
14 , 61.000000 , 28.166666 , 0
15 , 49.000000 , 25.041666 , 0
16 , 54.000000 , 18.875000 , 0
17 , 50.000000 , 22.916666 , 0
18 , 42.000000 , 21.500000 , 0
19 , 31.000000 , 27.125000 , 0
20 , 41.000004 , 32.541668 , 0
21 , 45.999996 , 32.708332 , 0
22 , 37.000000 , 33.166668 , 0
23 , 65.000000 , 31.250000 , 0
24 , 54.000000 , 25.250000 , 0
25 , 39.000000 , 25.666666 , 0
26 , 60.000000 , 30.416666 , 0
27 , 39.000000 , 30.833334 , 0
28 , 55.000000 , 28.541666 , 0
29 , 61.000000 , 29.000000 , 0
30 , 71.000000 , 23.541666 , 0
31 , 69.000000 , 31.125000 , 0
32 , 72.000000 , 26.166666 , 0
33 , 68.000000 , 26.250000 , 0
34 , 51.000000 , 29.416666 , 0
35 , 73.000000 , 41.791668 , 0
36 , 61.000000 , 34.291668 , 0
37 , 78.000000 , 45.750000 , 0
38 , 74.000000 , 40.583332 , 0
39 , 68.000000 , 46.166668 , 0
40 , 65.000000 , 48.833332 , 0
41 , 47.000004 , 28.333334 , 0
