Training Levels:,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
0 , 0.000000 , 0.000000 , 0
1 , 100.000000 , 19.767475 , 9
2 , 96.153847 , 58.203663 , 0
3 , 83.451180 , 45.500946 , 0
4 , 79.301033 , 37.593994 , 0
5 , 77.674652 , 31.308899 , 0
6 , 72.996689 , 31.849478 , 0
7 , 78.332611 , 33.984299 , 0
8 , 70.040802 , 31.114138 , 0
9 , 71.536850 , 26.952034 , 0
10 , 63.623047 , 25.053179 , 0
11 , 69.938400 , 33.787853 , 0
12 , 54.006577 , 24.087214 , 0
13 , 46.075031 , 13.182487 , 0
14 , 15.515310 , 6.926200 , 0
15 , 14.037243 , 6.502531 , 0
16 , 11.772508 , 2.797792 , 0
17 , 12.663167 , 2.608491 , 0
18 , 16.019917 , 3.116552 , 0
19 , 17.216618 , 3.075623 , 0
20 , 15.975536 , 4.775753 , 0
21 , 8.189101 , 2.867659 , 0
22 , 10.152612 , 2.931296 , 0
23 , 9.392805 , 3.594682 , 0
24 , 10.114946 , 2.326396 , 0
25 , 14.334849 , 3.235253 , 0
26 , 12.322718 , 5.006366 , 0
27 , 13.554404 , 4.729513 , 0
28 , 14.165938 , 4.582547 , 0
29 , 11.141061 , 3.779654 , 0
30 , 13.044885 , 4.660976 , 0
