Training Levels:,Resources/level/trainlevels/lvl-1,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
0 , 0.000000 , 0.000000 , 0
1 , 11.362504 , 1.494795 , 0
2 , 34.090500 , 4.420187 , 0
3 , 34.090500 , 5.380880 , 0
4 , 34.090500 , 4.952241 , 0
5 , 50.810509 , 7.338455 , 0
6 , 51.993664 , 9.093298 , 0
7 , 53.468090 , 6.555100 , 0
8 , 56.146950 , 8.494737 , 0
9 , 56.818176 , 9.507947 , 0
10 , 56.818176 , 6.471083 , 0
11 , 69.793579 , 6.933597 , 0
12 , 69.793579 , 8.608507 , 0
13 , 69.793579 , 7.900243 , 0
14 , 70.109367 , 8.988361 , 0
15 , 70.109367 , 9.234859 , 0
16 , 70.429382 , 5.122793 , 0
17 , 70.448151 , 7.315732 , 0
18 , 70.429955 , 6.286459 , 0
19 , 51.621246 , 5.560636 , 0
20 , 51.711254 , 10.481216 , 0
21 , 62.523056 , 9.716460 , 0
22 , 62.647289 , 9.784328 , 0
23 , 62.647289 , 9.868114 , 0
24 , 67.616516 , 8.177703 , 0
25 , 67.740967 , 7.737897 , 0
26 , 67.616516 , 5.228101 , 0
27 , 67.740967 , 9.389476 , 0
28 , 67.740967 , 9.122609 , 0
29 , 67.740967 , 9.491424 , 0
30 , 67.740967 , 6.637170 , 0
31 , 67.740967 , 7.657911 , 0
32 , 67.740967 , 6.792092 , 0
33 , 67.740967 , 5.704614 , 0
34 , 67.740967 , 7.847209 , 0
35 , 67.678856 , 7.073195 , 0
36 , 67.740967 , 8.239650 , 0
37 , 67.740967 , 7.116020 , 0
38 , 67.705307 , 6.656441 , 0
39 , 67.740967 , 7.866314 , 0
40 , 69.812294 , 7.597432 , 0
41 , 70.386818 , 8.904436 , 0
42 , 70.428528 , 8.262136 , 0
43 , 70.447983 , 9.260452 , 0
44 , 70.445923 , 7.323346 , 0
45 , 70.428459 , 9.378680 , 0
46 , 70.417824 , 5.933459 , 0
47 , 70.428459 , 6.414752 , 0
48 , 51.467590 , 5.334201 , 0
49 , 51.598125 , 7.401213 , 0
50 , 51.827972 , 7.540241 , 0
51 , 66.771324 , 7.935064 , 0
52 , 67.074066 , 8.719846 , 0
53 , 67.146530 , 8.243530 , 0
54 , 67.706970 , 10.275493 , 0
55 , 85.073669 , 9.002194 , 0
56 , 85.017929 , 5.655618 , 0
57 , 88.628197 , 10.038040 , 0
58 , 88.628197 , 8.659250 , 0
59 , 88.628197 , 12.642390 , 0
60 , 88.631622 , 9.149184 , 0
61 , 88.631622 , 9.690741 , 0
62 , 88.631622 , 11.307917 , 0
63 , 88.631622 , 11.981796 , 0
64 , 88.632652 , 11.897569 , 0
65 , 88.631622 , 12.525064 , 0
66 , 88.631622 , 10.483130 , 0
67 , 88.631622 , 11.777898 , 0
68 , 88.632652 , 13.513219 , 0
69 , 88.632652 , 12.045700 , 0
70 , 88.632652 , 13.987035 , 0
71 , 88.634285 , 16.759373 , 0
72 , 88.634285 , 10.307990 , 0
73 , 88.634285 , 10.478485 , 0
74 , 88.634483 , 11.935441 , 0
75 , 88.634483 , 11.258780 , 0
76 , 88.634483 , 10.962147 , 0
77 , 88.634483 , 11.893961 , 0
78 , 88.634483 , 13.003177 , 0
79 , 88.596916 , 9.852799 , 0
80 , 90.634415 , 15.544774 , 0
81 , 90.716766 , 10.887771 , 0
82 , 90.716766 , 13.018019 , 0
83 , 90.723412 , 10.642554 , 0
84 , 90.723412 , 10.278513 , 0
85 , 90.723412 , 12.807937 , 0
86 , 90.723412 , 18.320887 , 0
87 , 90.723412 , 8.788936 , 0
88 , 90.723412 , 11.063967 , 0
89 , 90.716766 , 8.129767 , 0
90 , 90.718956 , 11.886966 , 0
91 , 90.718407 , 10.705491 , 0
92 , 90.719482 , 13.439047 , 0
93 , 90.721092 , 14.423318 , 0
94 , 90.721092 , 11.865980 , 0
95 , 90.721092 , 10.500472 , 0
96 , 90.719475 , 10.322748 , 0
97 , 90.719482 , 10.681781 , 0
98 , 90.719475 , 11.652898 , 0
99 , 90.722267 , 12.363051 , 0
100 , 90.722267 , 9.088529 , 0
101 , 90.722267 , 9.407709 , 0
102 , 90.722267 , 12.268855 , 0
103 , 90.722267 , 8.341388 , 0
104 , 90.722267 , 13.142569 , 0
105 , 90.722267 , 6.571624 , 0
106 , 90.722267 , 12.537479 , 0
107 , 90.722267 , 11.082876 , 0
108 , 90.722267 , 7.449671 , 0
109 , 90.722267 , 6.001052 , 0
110 , 90.722267 , 10.293502 , 0
111 , 90.722267 , 9.871857 , 0
112 , 90.722267 , 9.851537 , 0
113 , 90.711250 , 8.014935 , 0
114 , 90.717903 , 9.969131 , 0
115 , 90.717903 , 10.918383 , 0
116 , 90.720459 , 10.968116 , 0
117 , 90.724121 , 11.578242 , 0
118 , 90.724121 , 11.522721 , 0
119 , 94.063019 , 13.043126 , 0
120 , 96.470169 , 11.222536 , 0
121 , 94.862823 , 13.258959 , 0
122 , 95.836411 , 12.289709 , 0
123 , 95.275902 , 11.173634 , 0
124 , 95.548859 , 11.652911 , 0
125 , 96.305252 , 12.326488 , 0
126 , 96.232697 , 13.269137 , 0
127 , 95.089729 , 13.716846 , 0
128 , 95.974007 , 10.696485 , 0
129 , 95.868454 , 12.072244 , 0
130 , 95.780388 , 11.063746 , 0
131 , 96.462364 , 13.041174 , 0
132 , 96.091530 , 11.804068 , 0
133 , 95.394730 , 10.536098 , 0
134 , 96.065613 , 11.726315 , 0
135 , 96.673141 , 10.650025 , 0
136 , 95.667519 , 9.192639 , 0
137 , 96.565308 , 14.519700 , 0
138 , 94.524696 , 9.704142 , 0
139 , 94.228500 , 11.236623 , 0
140 , 94.205093 , 11.191313 , 0
141 , 100.000000 , 19.549900 , 1
